Maze_ID,Prolific_ID,Age,Icon,Website,Speed,Misclick_Rate,,,,,,,
508568714,69aa0a558c97b2096af416e7,60+,IO,6,11.5,0,,,,,,,
508566685,69a76306cbd439e44eae56de,60+,IWTL,1,9.21,75,,,,,,,
508566685,69a76306cbd439e44eae56de,60+,IWTL,2,3.04,0,,,,,,,
508566685,69a76306cbd439e44eae56de,60+,IWTL,3,5.66,0,,,,,,,
508566685,69a76306cbd439e44eae56de,60+,IWTL,4,6.82,50,,,,,,,
508566685,69a76306cbd439e44eae56de,60+,IWTL,5,3.26,66.7,,,,,,,
508566685,69a76306cbd439e44eae56de,60+,IWTL,6,11.18,83.3,,,,,,,
508566633,699d2302364f50eb2076d2ff,60+,IO,1,22.75,0,,,,,,,
508566633,699d2302364f50eb2076d2ff,60+,IO,2,9.28,0,,,,,,,
508566633,699d2302364f50eb2076d2ff,60+,IO,3,45.15,75,,,,,,,
508566633,699d2302364f50eb2076d2ff,60+,IO,4,10.52,0,,,,,,,
508566633,699d2302364f50eb2076d2ff,60+,IO,5,18.95,0,,,,,,,
508566633,699d2302364f50eb2076d2ff,60+,IO,6,19.98,66.7,,,,,,,
508566322,646c323d73a3844a4331e09b,60+,TO,1,7.85,80,,,,,,,
508566322,646c323d73a3844a4331e09b,60+,TO,2,19.4,90,,,,,,,
508566322,646c323d73a3844a4331e09b,60+,TO,3,8.56,85.7,,,,,,,
508566322,646c323d73a3844a4331e09b,60+,TO,4,1.83,0,,,,,,,
508566322,646c323d73a3844a4331e09b,60+,TO,5,3.4,0,,,,,,,
508566322,646c323d73a3844a4331e09b,60+,TO,6,4.84,80,,,,,,,
508566143,61517db6a7589569521b2356,60+,IWTL,1,26.11,83.3,,,,,,,
508566143,61517db6a7589569521b2356,60+,IWTL,2,83.3,75,,,,,,,
508566143,61517db6a7589569521b2356,60+,IWTL,3,40.42,90.9,,,,,,,
508566143,61517db6a7589569521b2356,60+,IWTL,4,12.49,75,,,,,,,
508566143,61517db6a7589569521b2356,60+,IWTL,5,7.36,0,,,,,,,
508566143,61517db6a7589569521b2356,60+,IWTL,6,14.55,66.7,,,,,,,
492014994,663d8f0edfd87b4c1f590b99,18-35,IO,1,6.07,0,,,,,,,
492014994,663d8f0edfd87b4c1f590b99,18-35,IO,2,4.97,0,,,,,,,
492014994,663d8f0edfd87b4c1f590b99,18-35,IO,3,9.09,66.7,,,,,,,
492014994,663d8f0edfd87b4c1f590b99,18-35,IO,4,3.01,0,,,,,,,
492014994,663d8f0edfd87b4c1f590b99,18-35,IO,5,5.04,0,,,,,,,
492014994,663d8f0edfd87b4c1f590b99,18-35,IO,6,6.79,0,,,,,,,
508564920,60dde3c32d443979e545ce9d,60+,TO,1,6.75,0,,,,,,,
508564920,60dde3c32d443979e545ce9d,60+,TO,2,26.19,0,,,,,,,
508564920,60dde3c32d443979e545ce9d,60+,TO,3,40.61,80,,,,,,,
508564920,60dde3c32d443979e545ce9d,60+,TO,4,5.16,0,,,,,,,
508564920,60dde3c32d443979e545ce9d,60+,TO,5,5.91,0,,,,,,,
508564920,60dde3c32d443979e545ce9d,60+,TO,6,4.92,0,,,,,,,
508564830,66205dd1c80876a4b5f05567,60+,IWTL,1,12.18,0,,,,,,,
508564830,66205dd1c80876a4b5f05567,60+,IWTL,2,12.75,0,,,,,,,
508564830,66205dd1c80876a4b5f05567,60+,IWTL,3,170.24,99.3,,,,,,,
508564830,66205dd1c80876a4b5f05567,60+,IWTL,4,30.21,85.7,,,,,,,
508564830,66205dd1c80876a4b5f05567,60+,IWTL,5,6.23,0,,,,,,,
508564830,66205dd1c80876a4b5f05567,60+,IWTL,6,8.06,0,,,,,,,
508564331,574ce0a57fd0ec000db73aa6,60+,TO,1,2.59,0,,,,,,,
508564331,574ce0a57fd0ec000db73aa6,60+,TO,2,5.06,0,,,,,,,
508564331,574ce0a57fd0ec000db73aa6,60+,TO,3,43.77,96.6,,,,,,,
508564331,574ce0a57fd0ec000db73aa6,60+,TO,4,9.5,66.7,,,,,,,
508564331,574ce0a57fd0ec000db73aa6,60+,TO,5,3.05,0,,,,,,,
508564331,574ce0a57fd0ec000db73aa6,60+,TO,6,4.17,0,,,,,,,
508563170,69473bba920ccf53128cb023,60+,IWTL,1,18.8,50,,,,,,,
508563170,69473bba920ccf53128cb023,60+,IWTL,2,8.57,0,,,,,,,
508563170,69473bba920ccf53128cb023,60+,IWTL,3,25.29,93.3,,,,,,,
508563170,69473bba920ccf53128cb023,60+,IWTL,4,24.21,50,,,,,,,
508563170,69473bba920ccf53128cb023,60+,IWTL,5,18.96,80,,,,,,,
508563170,69473bba920ccf53128cb023,60+,IWTL,6,5.97,0,,,,,,,
508562447,5dd61a909ca8a35c14d8d610,60+,IO,1,14.83,66.7,,,,,,,
508562447,5dd61a909ca8a35c14d8d610,60+,IO,2,15.05,83.3,,,,,,,
508562447,5dd61a909ca8a35c14d8d610,60+,IO,3,16.76,0,,,,,,,
508562447,5dd61a909ca8a35c14d8d610,60+,IO,4,8.2,0,,,,,,,
508562447,5dd61a909ca8a35c14d8d610,60+,IO,5,5.39,0,,,,,,,
508562447,5dd61a909ca8a35c14d8d610,60+,IO,6,6.39,0,,,,,,,
508562706,6960340e2310ed07b133ff8c,60+,TO,1,22.14,50,,,,,,,
508562706,6960340e2310ed07b133ff8c,60+,TO,2,16.45,50,,,,,,,
508562706,6960340e2310ed07b133ff8c,60+,TO,3,13.71,50,,,,,,,
508562706,6960340e2310ed07b133ff8c,60+,TO,4,4.25,0,,,,,,,
508562706,6960340e2310ed07b133ff8c,60+,TO,5,6.36,0,,,,,,,
508562706,6960340e2310ed07b133ff8c,60+,TO,6,14.67,0,,,,,,,
508560949,62fd55e46cf83d965bc6f29e,60+,IWTL,1,11.58,83.3,,,,,,,
508560949,62fd55e46cf83d965bc6f29e,60+,IWTL,2,50.7,83.3,,,,,,,
508560949,62fd55e46cf83d965bc6f29e,60+,IWTL,3,11.76,66.7,,,,,,,
508560949,62fd55e46cf83d965bc6f29e,60+,IWTL,4,12.72,80,,,,,,,
508560949,62fd55e46cf83d965bc6f29e,60+,IWTL,5,24.62,88.9,,,,,,,
508560949,62fd55e46cf83d965bc6f29e,60+,IWTL,6,4.81,0,,,,,,,
508560847,69a232a61439df45956b4f0b,60+,IWTL,1,34.88,94.4,,,,,,,
508560847,69a232a61439df45956b4f0b,60+,IWTL,2,12.32,80,,,,,,,
508560847,69a232a61439df45956b4f0b,60+,IWTL,3,4.52,0,,,,,,,
508560847,69a232a61439df45956b4f0b,60+,IWTL,4,3.99,0,,,,,,,
508560847,69a232a61439df45956b4f0b,60+,IWTL,5,6.81,80,,,,,,,
508560847,69a232a61439df45956b4f0b,60+,IWTL,6,8.48,0,,,,,,,
508560086,5e6685e1ffed4c405a4db5d0,18-35,TO,1,6.04,0,,,,,,,
508560086,5e6685e1ffed4c405a4db5d0,18-35,TO,2,2.51,0,,,,,,,
508560086,5e6685e1ffed4c405a4db5d0,18-35,TO,3,15.69,90,,,,,,,
508560086,5e6685e1ffed4c405a4db5d0,18-35,TO,4,2.62,0,,,,,,,
508560086,5e6685e1ffed4c405a4db5d0,18-35,TO,5,2.56,0,,,,,,,
508560086,5e6685e1ffed4c405a4db5d0,18-35,TO,6,2.79,0,,,,,,,
508559123,66b07d4388eae1b2d981b909,60+,IWTL,1,53.46,85.7,,,,,,,
508559123,66b07d4388eae1b2d981b909,60+,IWTL,2,6.23,0,,,,,,,
508559123,66b07d4388eae1b2d981b909,60+,IWTL,3,34.34,80,,,,,,,
508559123,66b07d4388eae1b2d981b909,60+,IWTL,4,29.71,85.7,,,,,,,
508559123,66b07d4388eae1b2d981b909,60+,IWTL,5,4.34,0,,,,,,,
508559123,66b07d4388eae1b2d981b909,60+,IWTL,6,5.03,0,,,,,,,
508559008,638476f72ab8021be345e3ac,60+,IWTL,1,35.05,75,,,,,,,
508559008,638476f72ab8021be345e3ac,60+,IWTL,2,10.93,0,,,,,,,
508559008,638476f72ab8021be345e3ac,60+,IWTL,3,31.37,50,,,,,,,
508559008,638476f72ab8021be345e3ac,60+,IWTL,4,10.78,66.7,,,,,,,
508559008,638476f72ab8021be345e3ac,60+,IWTL,5,3.65,0,,,,,,,
508559008,638476f72ab8021be345e3ac,60+,IWTL,6,5.82,0,,,,,,,
457712824,65cb708afe5755feaeec417f,18-35,IO,1,21.88,75,,,,,,,
457712824,65cb708afe5755feaeec417f,18-35,IO,2,7.89,50,,,,,,,
457712824,65cb708afe5755feaeec417f,18-35,IO,3,5.79,50,,,,,,,
457712824,65cb708afe5755feaeec417f,18-35,IO,4,1.98,0,,,,,,,
457712824,65cb708afe5755feaeec417f,18-35,IO,5,2.69,0,,,,,,,
457712824,65cb708afe5755feaeec417f,18-35,IO,6,1.88,0,,,,,,,
508557427,69a50bda27556ef1909965f5,18-35,TO,1,25.78,91.7,,,,,,,
508557427,69a50bda27556ef1909965f5,18-35,TO,2,2.82,0,,,,,,,
508557427,69a50bda27556ef1909965f5,18-35,TO,3,5.31,0,,,,,,,
508557427,69a50bda27556ef1909965f5,18-35,TO,4,1.78,0,,,,,,,
508557427,69a50bda27556ef1909965f5,18-35,TO,5,6.11,0,,,,,,,
508557427,69a50bda27556ef1909965f5,18-35,TO,6,3.38,0,,,,,,,
508557255,695be81cff5933e82a967d04,18-35,IWTL,1,10.49,85.7,,,,,,,
508557255,695be81cff5933e82a967d04,18-35,IWTL,2,2.45,0,,,,,,,
508557255,695be81cff5933e82a967d04,18-35,IWTL,3,17.1,90.9,,,,,,,
508557255,695be81cff5933e82a967d04,18-35,IWTL,4,6.97,50,,,,,,,
508557255,695be81cff5933e82a967d04,18-35,IWTL,5,3.4,0,,,,,,,
508557255,695be81cff5933e82a967d04,18-35,IWTL,6,2.48,0,,,,,,,
508557240,5bf349126f97050001e6a6e6,60+,IO,1,56.48,50,,,,,,,
508557240,5bf349126f97050001e6a6e6,60+,IO,2,20.46,0,,,,,,,
508557240,5bf349126f97050001e6a6e6,60+,IO,3,115.42,87.5,,,,,,,
508557240,5bf349126f97050001e6a6e6,60+,IO,4,16.07,0,,,,,,,
508557240,5bf349126f97050001e6a6e6,60+,IO,5,12.94,0,,,,,,,
508557240,5bf349126f97050001e6a6e6,60+,IO,6,18.66,0,,,,,,,
505138507,5ed7d133262e4f0d0f5cb2f5,18-35,TO,1,3.62,0,,,,,,,
505138507,5ed7d133262e4f0d0f5cb2f5,18-35,TO,2,2.36,0,,,,,,,
505138507,5ed7d133262e4f0d0f5cb2f5,18-35,TO,3,18.39,92.9,,,,,,,
505138507,5ed7d133262e4f0d0f5cb2f5,18-35,TO,4,2.63,50,,,,,,,
505138507,5ed7d133262e4f0d0f5cb2f5,18-35,TO,5,2.56,0,,,,,,,
505138507,5ed7d133262e4f0d0f5cb2f5,18-35,TO,6,1.91,0,,,,,,,
508555010,699dd5c23229ec878aad1b0d,18-35,IWTL,1,2.07,0,,,,,,,
